variante,descripcion,holdout_f1_macro,holdout_accuracy,holdout_kappa,holdout_elapsed_sec,gkf_f1_macro_mean,gkf_f1_macro_std,gkf_kappa_mean,gkf_accuracy_mean,gkf_elapsed_sec,coste_latencia,experiment,metrics_raw
baseline,"TF-IDF word (1,1) + LogisticRegression.",1.0,1.0,1.0,0.017860392996226437,0.9865558204454224,0.016466145089319695,0.9800000000000001,0.9866666666666667,0.11337156100489665,API 0 · ~0.02s holdout (sklearn),"{'name': 'baseline', 'description': 'TF-IDF word (1,1) + LogisticRegression.', 'kind': 'sklearn', 'vectorizer': {'analyzer': 'word', 'ngram_range': (1, 1), 'min_df': 1}, 'classifier': {'solver': 'lbfgs', 'max_iter': 2000, 'random_state': 42}}","{'holdout': {'accuracy': 1.0, 'f1_macro': 1.0, 'kappa': 1.0, 'elapsed_sec': 0.017860392996226437}, 'group_kfold': {'accuracy_mean': 0.9866666666666667, 'f1_macro_mean': 0.9865558204454224, 'f1_macro_std': 0.016466145089319695, 'kappa_mean': 0.9800000000000001, 'kappa_std': 0.024494897427831803, 'elapsed_sec': 0.11337156100489665}}"
early_lexical,"EarlyGate.lexical_classify (reglas, sin LLM).",0.7692535107169253,0.7666666666666667,0.65,0.00853643799200654,0.7179579491514632,0.1655046675474745,0.585,0.7233333333333334,0.04915606700524222,API 0 · ~0.01s holdout (reglas),"{'name': 'early_lexical', 'description': 'EarlyGate.lexical_classify (reglas, sin LLM).', 'kind': 'lexical', 'vectorizer': None, 'classifier': None}","{'holdout': {'accuracy': 0.7666666666666667, 'f1_macro': 0.7692535107169253, 'kappa': 0.65, 'elapsed_sec': 0.00853643799200654}, 'group_kfold': {'accuracy_mean': 0.7233333333333334, 'f1_macro_mean': 0.7179579491514632, 'f1_macro_std': 0.1655046675474745, 'kappa_mean': 0.585, 'kappa_std': 0.24320773014030617, 'elapsed_sec': 0.04915606700524222}}"
var1,"Cambio único: TF-IDF word (1,2).",1.0,1.0,1.0,0.03278019900608342,0.9899434318038969,0.0201131363922062,0.985,0.99,0.1897769729985157,API 0 · ~0.03s holdout (sklearn),"{'name': 'var1', 'description': 'Cambio único: TF-IDF word (1,2).', 'kind': 'sklearn', 'vectorizer': {'analyzer': 'word', 'ngram_range': (1, 2), 'min_df': 1}, 'classifier': {'solver': 'lbfgs', 'max_iter': 2000, 'random_state': 42}}","{'holdout': {'accuracy': 1.0, 'f1_macro': 1.0, 'kappa': 1.0, 'elapsed_sec': 0.03278019900608342}, 'group_kfold': {'accuracy_mean': 0.99, 'f1_macro_mean': 0.9899434318038969, 'f1_macro_std': 0.0201131363922062, 'kappa_mean': 0.985, 'kappa_std': 0.02999999999999998, 'elapsed_sec': 0.1897769729985157}}"
var2,"Cambio único: TF-IDF char (3,5).",1.0,1.0,1.0,0.9628060090035433,1.0,0.0,1.0,1.0,5.265326819004258,API 0 · ~0.96s holdout (sklearn),"{'name': 'var2', 'description': 'Cambio único: TF-IDF char (3,5).', 'kind': 'sklearn', 'vectorizer': {'analyzer': 'char', 'ngram_range': (3, 5), 'min_df': 1}, 'classifier': {'solver': 'lbfgs', 'max_iter': 2000, 'random_state': 42}}","{'holdout': {'accuracy': 1.0, 'f1_macro': 1.0, 'kappa': 1.0, 'elapsed_sec': 0.9628060090035433}, 'group_kfold': {'accuracy_mean': 1.0, 'f1_macro_mean': 1.0, 'f1_macro_std': 0.0, 'kappa_mean': 1.0, 'kappa_std': 0.0, 'elapsed_sec': 5.265326819004258}}"
