query_idx,text_hash,true_label,risk_4d,lexical_stop,I_db,I_mem,I_sec,I_dat,neighbor_entropy,mean_distance,class_consensus,conformal_set_size,rag_uncertainty,agent_label_sim,agent_confidence_sim,token_cost_proxy,loop_retry_proxy,plan_entropy,agent_disagreement
244,16dfba87efb823f8f11ad5f43976c71aea6340474908838cd367522d0d3c9ce3,pausa,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.029192,1.0,1,0.008758,stop,0.7000000000000001,1200.0,0,-0.0,0.0
245,eb104173ae9d4c4d8afaf7f3cd0616a9b3c1f5a2c0484d042a7b129561bffbb7,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.19788,0.6,1,0.571851,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
246,960cb1531376846cc63bf081b850a483e5f0581fcdbc511555f965fdbe4f1eac,stop,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.022351,0.8,1,0.274448,stop,0.7000000000000001,1200.0,0,0.455486,0.0
247,13af74b742af8ea491bd07c2e9ee5a44ff189a7396b9dcd126a12b7d19336e3d,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,1.0,0.4,2,0.900115,play,0.7000000000000001,1200.0,0,0.96023,0.0
248,90744435f823e50d2db65ec8b33d63fe5eb366d4337432eeb6b7efe3e0020680,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.069565,0.4,2,0.620984,pausa,0.7000000000000001,1200.0,0,0.96023,0.0
249,db3fe3943a3dec13fdb47d1471be249416facc819b20dac2ceea50f000def945,pausa,0.0,False,0.0,0.0,0.0,0.0,0.455486,0.026451,0.8,1,0.275678,play,0.7000000000000001,1200.0,0,0.455486,0.0
250,c88778947036a97a1c73ea1e1e922eb12dc4d7fafd136a6fe1197a395fbb8fef,pausa,0.0,False,0.0,0.0,0.0,0.0,0.864974,0.165552,0.6,1,0.562152,stop,0.7000000000000001,1200.0,0,0.864974,0.0
251,4f9965b647d1d7ebccb5fa2d13f2e0bf0d6342824c9a8a0f834ff431720f8902,pausa,0.0,False,0.0,0.0,0.0,0.0,0.96023,0.177896,0.4,2,0.653484,play,0.7000000000000001,1200.0,0,0.96023,0.0
252,05f850e30f1066f18ad2eab938130bc37957ef93ab3ddf0a7ca9e9236152f1af,pausa,0.06,False,0.0,0.0,0.0,0.0,0.864974,0.326472,0.6,1,0.610428,pausa,0.7000000000000001,1200.0,0,0.864974,0.0
253,c29eddb642fdcba47c13423f2051ed6de17a6d9a18364a2d29bc3f5f49ccf449,pausa,0.06,False,0.0,0.0,0.0,0.0,0.864974,0.206341,0.6,1,0.574389,play,0.7000000000000001,1200.0,0,0.864974,0.0
