variante,alcance_n,F1-macro (Macro-averaged F1),F1-play,F1-pausa,F1-stop (F1-critical),ECE (Expected Calibration Error),EC (Expected Cost / ex-CEPA),FNR-stop (False Negative Rate stop),MCC-macro (Matthews Correlation),Balanced accuracy,tokens_total,latencia_media_ms,latencia_p95_ms,end_indice_auxiliar,confusion_matrix_json,Precision-play,Recall-play,Precision-pausa,Recall-pausa,F1-stop,Precision-stop,Recall-stop,hitl_intervenciones_pausa,hitl_intervenciones_stop,hitl_overrides_extra,hitl_tiempo_total_min,hitl_costo_programador_usd,cm_play_to_play,cm_play_to_pausa,cm_play_to_stop,cm_pausa_to_play,cm_pausa_to_pausa,cm_pausa_to_stop,cm_stop_to_play,cm_stop_to_pausa,cm_stop_to_stop,override_rate
Baseline,400,0.362273,0.144,0.642066,0.300752,0.44775,0.11055,0.333333,0.134321,0.514852,80358,0.0,0.0,0.039608,"{""play_to_play"": 9, ""play_to_pausa"": 13, ""play_to_stop"": 2, ""pausa_to_play"": 91, ""pausa_to_pausa"": 174, ""pausa_to_stop"": 81, ""stop_to_play"": 1, ""stop_to_pausa"": 9, ""stop_to_stop"": 20}",0.089109,0.375,0.887755,0.50289,0.300752,0.194175,0.666667,196.0,103.0,0.0,3040.0,2280.0,9,13,2,91,174,81,1,9,20,
Var1,400,0.33532,0.067797,0.88102,0.057143,0.44,0.14675,0.966667,0.013305,0.338504,38364,305.42,2881.15,0.067291,"{""play_to_play"": 2, ""play_to_pausa"": 22, ""play_to_stop"": 0, ""pausa_to_play"": 31, ""pausa_to_pausa"": 311, ""pausa_to_stop"": 4, ""stop_to_play"": 2, ""stop_to_pausa"": 27, ""stop_to_stop"": 1}",0.057143,0.083333,0.863889,0.898844,0.057143,0.2,0.033333,360.0,5.0,0.0,1900.0,1425.0,2,22,0,31,311,4,2,27,1,
Var2,400,0.435262,0.047619,0.867362,0.390805,0.41925,0.12315,0.433333,0.175516,0.483125,38364,305.92,2881.65,0.087762,"{""play_to_play"": 1, ""play_to_pausa"": 22, ""play_to_stop"": 1, ""pausa_to_play"": 16, ""pausa_to_pausa"": 291, ""pausa_to_stop"": 39, ""stop_to_play"": 1, ""stop_to_pausa"": 12, ""stop_to_stop"": 17}",0.055556,0.041667,0.895385,0.84104,0.390805,0.298246,0.566667,325.0,57.0,66.0,2963.0,2222.25,1,22,1,16,291,39,1,12,17,0.165
