variante,F1-play,F1-pausa,F1-stop,Precision-play,Precision-pausa,Precision-stop,Recall-play,Recall-pausa,Recall-stop,MCC-macro,balanced_accuracy,tokens_total,latencia_media_ms,latencia_p95_ms,hitl_tiempo_total_min,hitl_costo_programador_usd,hitl_intervenciones_pausa,hitl_intervenciones_stop,override_rate,end_indice_auxiliar,nota_end,nota_hitl
Baseline,0.144,0.642066,0.300752,0.089109,0.887755,0.194175,0.375,0.50289,0.666667,0.134321,0.514852,80358,0.0,0.0,3040.0,2280.0,196.0,103.0,0.0,0.039608,índice auxiliar interno — no métrica principal,"supuesto: 5min/pausa, 20min/stop, 3min/override, $45/h dev"
Var1,0.067797,0.88102,0.057143,0.057143,0.863889,0.2,0.083333,0.898844,0.033333,0.013305,0.338504,38364,305.42,2881.15,1900.0,1425.0,360.0,5.0,0.0,0.067291,índice auxiliar interno — no métrica principal,"supuesto: 5min/pausa, 20min/stop, 3min/override, $45/h dev"
Var2,0.047619,0.867362,0.390805,0.055556,0.895385,0.298246,0.041667,0.84104,0.566667,0.175516,0.483125,38364,305.92,2881.65,2963.0,2222.25,325.0,57.0,0.165,0.087762,índice auxiliar interno — no métrica principal,"supuesto: 5min/pausa, 20min/stop, 3min/override, $45/h dev"
