exp,holdout_f1_macro,holdout_accuracy,holdout_time_sec,gkf_f1_macro_mean,gkf_f1_macro_std,gkf_accuracy_mean,gkf_time_sec
baseline,1.0,1.0,0.040311600008863024,0.9865558204454224,0.016466145089319695,0.9866666666666667,0.17564060000586323
var1,1.0,1.0,0.062388800011831336,0.9899434318038969,0.0201131363922062,0.99,0.24664219999976922
var2,1.0,1.0,0.5848102000018116,1.0,0.0,1.0,3.5976330999983475
