query_idx,query_hash,true_label,neighbor_entropy,neighbor_mean_distance,neighbor_mean_similarity,neighbor_n_play,neighbor_n_pausa,neighbor_n_stop,neighbor_majority_label,retrieval_backend
42,a22790f4efac31e79a68854bff313f399bca47785d7a7e24f5138d4d620e359f,pausa,0.7219280948873623,0.17572466293782457,0.8242753370621756,1,4,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
43,844e1acb997f78be2d5cc3d7ce068cf3e86d72f0eca84a3539aa7801ede6fe9d,pausa,-0.0,0.25798288282330734,0.7420171171766926,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
44,b1219e55f926e20969cf1e8ecddd80dbfe9328f5c51fa2b45b78446e787c139f,pausa,1.5219280948873621,0.06436196007745251,0.9356380399225476,2,2,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
45,a7d6a8ae8dd32e8e376f453daef9820ee61a607327ed71a9c7e03077a87f6b5a,stop,-0.0,0.003140567581912279,0.9968594324180877,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
46,e840fb9305c81b50a3860d58d32c8da9c9beae5a0301f850e715a757a2156e6d,pausa,-0.0,0.06412024598147462,0.9358797540185254,0,5,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
47,616a1b3b78474819bc0d9513585731aa895242356ed4686e0c668df757219439,pausa,1.3709505944546687,0.12058490926467454,0.8794150907353254,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
48,ac5462f18506148837cf43c3ce39e9b85853666e7342b2ae02615afc7dcd84a8,play,-0.0,0.17752957927356505,0.8224704207264348,0,5,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
49,3ddb06e187d479e306f0871690bac62618c889a0523045296b07a4305b1b9d00,pausa,0.9709505944546686,0.09974660789049168,0.9002533921095083,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
50,5859d6f4e010dfa1150fdad18443c920c662574a6df62165e5c37c39bac3a4e8,pausa,0.9709505944546686,0.09612727837224784,0.9038727216277522,0,3,2,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
51,5bbb5f3b3bdefd79e8ef37041ae97309b6e9c5ef33278b3bb3b867d1caf1b9bb,pausa,0.7219280948873623,0.15030183811958375,0.8496981618804164,4,1,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
52,937cac14895ce6f945ffa7939c8d8845360060cc3648348e96a3a66b7a518cf2,pausa,-0.0,1.1102230246251565e-16,0.9999999999999998,0,0,5,stop,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
53,96e716d42f2d18184bba74dbed10bc6d22d08cf626a5018934992709900eb10a,pausa,0.7219280948873623,0.020973696868693104,0.9790263031313069,4,1,0,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
54,8ae708ddd73f307c16169ac1782e604c248a988d6ae82f6761757eb5548386ef,stop,1.3709505944546687,0.2158472619309686,0.7841527380690314,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
55,c53049828e5bd02770affb434d8eff15d4a4791e4a24488e6548ea2bf4adf687,pausa,1.3709505944546687,0.29809545691180855,0.7019045430881915,3,1,1,play,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
56,4f034c9cc8246756d5f94bd65e7901447c5824a64478fc40ccf74aadac7cfc33,pausa,0.9709505944546686,0.12375646850816724,0.8762435314918328,2,3,0,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
57,2e75a114bceecd943769b5b3145dcdbd9ddc34ba89e7ca13ba27fad0b934bf9d,pausa,1.3709505944546687,0.09324433015410838,0.9067556698458915,1,3,1,pausa,tfidf_lexical+svd_dense_local+pgvector_sql→rrf→rerank
